Trainn acc .	Test acc .	
 1.5428e+02	 1.6555e+02	
 1.5402e+02	 1.6528e+02	
 1.5376e+02	 1.6501e+02	
 1.5350e+02	 1.6473e+02	
 1.5325e+02	 1.6446e+02	
 1.5299e+02	 1.6418e+02	
 1.5273e+02	 1.6391e+02	
 1.5247e+02	 1.6363e+02	
 1.5222e+02	 1.6336e+02	
 1.5196e+02	 1.6308e+02	
 1.5170e+02	 1.6281e+02	
 1.5145e+02	 1.6254e+02	
 1.5119e+02	 1.6227e+02	
 1.5093e+02	 1.6200e+02	
 1.5068e+02	 1.6173e+02	
 1.5042e+02	 1.6147e+02	
 1.5017e+02	 1.6120e+02	
 1.4991e+02	 1.6093e+02	
 1.4966e+02	 1.6067e+02	
 1.4941e+02	 1.6041e+02	
 1.4916e+02	 1.6014e+02	
 1.4891e+02	 1.5988e+02	
 1.4865e+02	 1.5962e+02	
 1.4840e+02	 1.5935e+02	
 1.4815e+02	 1.5909e+02	
 1.4790e+02	 1.5883e+02	
 1.4765e+02	 1.5856e+02	
 1.4740e+02	 1.5831e+02	
 1.4715e+02	 1.5805e+02	
 1.4690e+02	 1.5779e+02	
 1.4665e+02	 1.5753e+02	
 1.4641e+02	 1.5727e+02	
 1.4616e+02	 1.5701e+02	
 1.4591e+02	 1.5675e+02	
 1.4567e+02	 1.5650e+02	
 1.4542e+02	 1.5624e+02	
 1.4518e+02	 1.5599e+02	
 1.4493e+02	 1.5574e+02	
 1.4468e+02	 1.5548e+02	
 1.4444e+02	 1.5523e+02	
 1.4420e+02	 1.5498e+02	
 1.4395e+02	 1.5473e+02	
 1.4371e+02	 1.5448e+02	
 1.4347e+02	 1.5423e+02	
 1.4323e+02	 1.5398e+02	
 1.4299e+02	 1.5373e+02	
 1.4275e+02	 1.5348e+02	
 1.4251e+02	 1.5323e+02	
 1.4227e+02	 1.5299e+02	
 1.4203e+02	 1.5275e+02	
 1.4180e+02	 1.5250e+02	
 1.4156e+02	 1.5226e+02	
 1.4132e+02	 1.5202e+02	
